text;favorite_count;media;periode
" ""A golden retriever was left home alone in the city of Guangzhou, south China's Guangdong Province, without food or water after its owner was stuck in #Wuhan amid the new coronavirus outbreak. \n\nBut one neighbor came to the rescue. ";466;CGTNOfficial;JanFeb2020
Take a closer look at China's #terracotta warriors https://t.co/IIF9h3lNyX;465;XHNews;JanFeb2020
" ""A golden retriever was left home alone in the city of Guangzhou, south China's Guangdong Province, without food or water after its owner was stuck in #Wuhan amid the new coronavirus outbreak. \n\nBut one neighbor came to the rescue. ";465;CGTNOfficial;JanFeb2020
" ""Picture posted on Weibo shows over 20 medical staff who once fought in Beijing's Xiaotangshan hospital against #SARS in 2003 now ask for fighting #CoronavirusOutbreak in #Wuhan goes viral and touches many; respects and tributes go to all of those doctors, nurses, and scientists ";462;CGTNOfficial;JanFeb2020
" ""You're town's in lockdown because of the #coronavirus – what do you do all day? How do you handle the cabin fever? Take a look at how some people find something to do in Wuhan.  #COVID19 ";459;CGTNOfficial;JanFeb2020
Nurses have their long hair cut short before heading to Wuhan to join the fight against the novel #coronavirus outb… https://t.co/COf8eeSs9w;458;XHNews;JanFeb2020
 'Nurses have their long hair cut short before heading to Wuhan to join the fight against the novel #coronavirus outbreak. #pneumonia ;458;XHNews;JanFeb2020
" ""#StandWithWuhan 450 military doctors, medical personnel from China's three military medical universities - some with experience combating SARS or Ebola - rushed to #Wuhan at the wee hours on Friday to help fight #CoronavirusOutbreak \n\nFollow live updates: ";458;CGTNOfficial;JanFeb2020
 'Time-lapse: Leishenshan Hospital under construction in Wuhan, China. This is the 2nd #SARS treatment-model facility in the city. #coronavirus #pneumonia ;456;XHNews;JanFeb2020
Time-lapse: Leishenshan Hospital under construction in Wuhan, China. This is the 2nd #SARS treatment-model facility… https://t.co/elA1MseUUa;456;XHNews;JanFeb2020
 'Latest on #CoronavirusOutbreak as of 10:00 p.m. Jan. 25 BJT (1300GMT)\n\xa0\n- Over 1,370 cases in China\n- 41 deaths\n- 38 cured\n- 28 cases confirmed in 10 countries\n- 30 municipalities, provinces launch highest emergency response level\n\xa0\nLive updates: ;456;CGTNOfficial;JanFeb2020
